price_id;price_range
1158;€42-€122
1159;€35-€70
1160;€25-€47
1161;€54-€65
1162;€16-€65
1163;€26-€95
1164;€22-€23
1165;€42-€250
1166;€7-€55
1167;€37-€149
1168;€6-€304
1169;€38-€100
1170;€30-€119
1171;€44-€109
1172;€31-€122
1173;€27-€34
1174;€60-€110
1175;€18-€61
1176;€58-€70
1177;€5-€42
1178;€23-€31
1179;€25-€84
1180;€16-€52
1181;€19-€60
1182;€20-€57
1183;€16-€74
1184;€10-€54
1185;€4-€32
1186;€45-€69
1187;€12-€42
1188;€5-€32
1189;€8-€999
1190;€80-€300
1191;€21-€35
1192;€10-€58
1193;€3-€24
1194;€4-€39
1195;€6-€51
1196;€52-€160
1197;€14-€51
1198;€20-€68
1199;€22-€79
1200;€54-€100
1201;€11-€55
1202;€23-€34
1203;€8-€56
1204;€59-€75
1205;€15-€69
1206;€2-€27
1207;€26-€67
1208;€11-€48
1209;€19-€68
1210;€38-€70
1211;€32-€75
1212;€150-€250
1213;€26-€65
1214;€39-€99
1215;€55-€79
1216;€18-€46
1217;€50-€100
1218;€5-€150
1219;CHF 6-CHF 17
1220;CHF 7-CHF 18
1221;CHF 55-CHF 88
1222;CHF 12-CHF 20
1223;CHF 9-CHF 18
1224;CHF 11-CHF 30
1225;CHF 7-CHF 14
1226;CHF 7-CHF 12
1227;CHF 11-CHF 22
1228;CHF 13-CHF 27
1229;CHF 10-CHF 25
1230;CHF 8-CHF 17
1231;CHF 17-CHF 28
1232;CHF 11-CHF 28
1233;CHF 17-CHF 33
1234;CHF 9-CHF 33
1235;CHF 10-CHF 32
1236;CHF 6-CHF 22
1237;CHF 15-CHF 16
1238;CHF 14-CHF 31
1239;CHF 11-CHF 17
1240;CHF 17-CHF 39
1241;CHF 6-CHF 15
1242;CHF 12-CHF 43
1243;CHF 4-CHF 13
1244;CHF 11-CHF 19
1245;CHF 51-CHF 80
1246;CHF 20-CHF 27
1247;CHF 11-CHF 27
1248;CHF 22-CHF 32
1249;CHF 14-CHF 47
1250;CHF 20-CHF 82
1251;CHF 7-CHF 11
1252;CHF 17-CHF 22
1253;CHF 15-CHF 30
1254;CHF 5-CHF 27
1255;CHF 14-CHF 22
1256;CHF 9-CHF 22
1257;CHF 3-CHF 13
1258;CHF 17-CHF 36
1259;CHF 8-CHF 28
1260;CHF 10-CHF 17
